Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
346480453179,Rakes of Mallow,,rakesofmallow,Community,0,159,0,yes,https://www.facebook.com/rakesofmallow/
99528220127,The Daily Gopher,,thedailygopher,Recreation & Sports Website,0.06,1528,83,yes,https://www.facebook.com/thedailygopher/
93610793386,The Only Colors,,theonlycolors,Recreation & Sports Website,0.08,10543,435,yes,https://www.facebook.com/theonlycolors/
143617799811,Roll 'Bama Roll,,rollbamaroll,Recreation & Sports Website,0.13,121801,2997,yes,https://www.facebook.com/rollbamaroll/
331102768522,Team Speed Kills,,teamspeedkillsSBN,Media/News Company,0.08,727,3,yes,https://www.facebook.com/teamspeedkillsSBN/
24763310770,Viva The Matadors,,vivathematadors,School Sports Team,0.15,10901,702,yes,https://www.facebook.com/vivathematadors/
258750890420,Bruins Nation,,BruinsNation,Recreation & Sports Website,0.11,4946,254,no,https://www.facebook.com/BruinsNation/
17918978414,Rock M Nation,,rockmnation,Recreation & Sports Website,0.11,7732,709,yes,https://www.facebook.com/rockmnation/
111994292146871,Rock Chalk Talk,,rockchalktalk,Media/News Company,0.11,14101,773,no,https://www.facebook.com/rockchalktalk/
36195757540,Red and Black Attack,,RedandBlackAttack,Recreation & Sports Website,0,395,0,yes,https://www.facebook.com/RedandBlackAttack/
110585322329814,Hustle Belt,,hustlebelt,Recreation & Sports Website,0.07,1825,35,yes,https://www.facebook.com/hustlebelt/
121756051169455,House of Sparky,,,Website,0,162,0,yes,https://www.facebook.com/House-of-Sparky-121756051169455/
368727052710,Big 12 Hoops,,big12hoops,Amateur Sports Team,0,181,0,yes,https://www.facebook.com/big12hoops/
255102617969,Sactown Royalty,,SactownRoyalty,Recreation & Sports Website,0.06,44554,785,yes,https://www.facebook.com/SactownRoyalty/
116820538360160,Welcome to Loud City,,welcometoloudcity,Recreation & Sports Website,0.07,169248,775,yes,https://www.facebook.com/welcometoloudcity/
111860015493673,NetsDaily,,NetsDaily,News & Media Website,0.19,29468,397,no,https://www.facebook.com/NetsDaily/
7467565831,Detroit Bad Boys,,DetroitBadBoys,Media/News Company,0.04,112262,356,yes,https://www.facebook.com/DetroitBadBoys/
56426715422,Clips Nation,,ClipsNation,Media/News Company,0.15,115902,342,yes,https://www.facebook.com/ClipsNation/
346697009277,The Dream Shake,,DreamShakeSBN,News & Media Website,0.07,3108,308,yes,https://www.facebook.com/DreamShakeSBN/
13873806278,Denver Stiffs,,denverstiffs,News & Media Website,0.13,5027,199,yes,https://www.facebook.com/denverstiffs/
138944599464016,Mavs Moneyball,,MavsMoneyball,News & Media Website,0.12,107227,1185,yes,https://www.facebook.com/MavsMoneyball/
501803260286,Bolts From The Blue: For Chargers Fans,,boltsfromtheblue,Recreation & Sports Website,0.05,22687,127,no,https://www.facebook.com/boltsfromtheblue/
451243585233,Arrowhead Pride: For Kansas City Chiefs Fans,,ArrowheadPride,Recreation & Sports Website,0.15,147174,7617,yes,https://www.facebook.com/ArrowheadPride/
74788056594,Mile High Report: A Denver Broncos Blog,,MileHighReport,Recreation & Sports Website,0.15,123237,5650,yes,https://www.facebook.com/MileHighReport/
311878731502,Music City Miracles,,TitansMCM,Sports Team,0.23,13381,1058,yes,https://www.facebook.com/TitansMCM/
104043399632639,Dawgs By Nature: For Cleveland Browns Fans,,dawgsbynature,Sports Team,0.15,55460,1194,yes,https://www.facebook.com/dawgsbynature/
273341272107,Cincy Jungle,,CincyJungle,Sports Team,0.41,79515,3618,yes,https://www.facebook.com/CincyJungle/
102577042588,Turf Show Times,,TurfShowTimes,Recreation & Sports Website,0.17,22872,564,yes,https://www.facebook.com/TurfShowTimes/
133334597646,Lacrosse Volunteer Corps,,laxvolunteers,Nonprofit Organization,0.01,20053,5,no,https://www.facebook.com/laxvolunteers/
104494252531,Niners Nation: A San Francisco 49ers Blog,,NinersNation.49ers,Sports Team,0.16,176048,2780,yes,https://www.facebook.com/NinersNation.49ers/
111814958839511,Hogs Haven,,hogshaven,News & Media Website,0.18,51223,685,yes,https://www.facebook.com/hogshaven/
57835308051,Bleeding Green Nation: For Philadelphia Eagles Fans,,BleedingGreenNation,Recreation & Sports Website,0.98,130782,133752,yes,https://www.facebook.com/BleedingGreenNation/
53918720179,Blogging The Boys,,BloggingTheBoys,Sports Team,0.29,129029,2772,yes,https://www.facebook.com/BloggingTheBoys/
177066813982,Cat Scratch Reader,,catscratchreadr,Recreation & Sports Website,0.1,15959,220,yes,https://www.facebook.com/catscratchreadr/
71192262880,The Daily Norseman,,thedailynorseman,Recreation & Sports Website,0.55,30877,4251,no,https://www.facebook.com/thedailynorseman/
91310816424,Pride of Detroit,,prideofdetroit,Recreation & Sports Website,0.29,48039,3006,yes,https://www.facebook.com/prideofdetroit/
116020395098861,Windy City Gridiron: For Chicago Bears Fans,,WindyCityGridiron,Sports Team,0.26,29479,915,yes,https://www.facebook.com/WindyCityGridiron/
327959000742,"MLB Daily Dish - MLB Trades, Signings, Rumors",,MLBDailyDish,Recreation & Sports Website,0.13,45385,259,yes,https://www.facebook.com/MLBDailyDish/
75817512200,Beyond the Box Score,,beyondtheboxscore,Recreation & Sports Website,0.02,6355,4,yes,https://www.facebook.com/beyondtheboxscore/
306777389105,The Good Phight: For Philadelphia Phillies Fans,,TheGoodPhight,Recreation & Sports Website,0.05,6076,111,yes,https://www.facebook.com/TheGoodPhight/
